sku,stock,fecha
A232,31,2023-12-01
A232,0,2024-01-01
A232,0,2024-02-01
A232,0,2024-03-01
A232,0,2024-04-01
A232,0,2024-05-01
A232,0,2024-06-01
A232,3120,2024-07-01
A232,2558,2024-08-01
A232,5741,2024-09-01
A232,967,2024-10-01
A232,780,2024-11-01
A232,780,2024-12-01
A233,0,2022-01-01
A233,0,2022-02-01
A233,0,2022-03-01
A233,0,2022-04-01
A233,0,2022-05-01
A233,0,2022-06-01
A233,0,2022-07-01
A233,0,2022-08-01
A233,0,2022-09-01
A233,0,2022-10-01
A233,0,2022-11-01
A233,0,2022-12-01
A233,0,2023-01-01
A233,0,2023-02-01
A233,3968,2023-03-01
A233,5118,2023-04-01
A233,4191,2023-05-01
A233,927,2023-06-01
A233,0,2023-07-01
A233,0,2023-08-01
A233,705,2023-09-01
A233,4413,2023-10-01
A233,3115,2023-11-01
A233,1261,2023-12-01
A233,1817,2024-01-01
A233,3931,2024-02-01
A233,630,2024-03-01
A233,964,2024-04-01
A233,0,2024-05-01
A233,0,2024-06-01
A233,16541,2024-07-01
A233,11089,2024-08-01
A233,8864,2024-09-01
A233,4265,2024-10-01
A233,111,2024-11-01
A233,445,2024-12-01
A234,0,2022-01-01
A234,0,2022-02-01
A234,0,2022-03-01
A234,0,2022-04-01
A234,0,2022-05-01
A234,0,2022-06-01
A234,0,2022-07-01
A234,0,2022-08-01
A234,0,2022-09-01
A234,0,2022-10-01
A234,0,2022-11-01
A234,0,2022-12-01
A234,0,2023-01-01
A234,0,2023-02-01
A234,18266,2023-03-01
A234,13778,2023-04-01
A234,10188,2023-05-01
A234,135,2023-06-01
A234,269,2023-07-01
A234,3142,2023-08-01
A234,1526,2023-09-01
A234,224,2023-10-01
A234,4712,2023-11-01
A234,224,2023-12-01
A234,2244,2024-01-01
A234,269,2024-02-01
A234,6238,2024-03-01
A234,359,2024-04-01
A234,14855,2024-05-01
A234,10816,2024-06-01
A234,10861,2024-07-01
A234,4353,2024-08-01
A234,6912,2024-09-01
A234,2558,2024-10-01
A234,1930,2024-11-01
A234,898,2024-12-01
A235,0,2022-01-01
A235,0,2022-02-01
A235,0,2022-03-01
A235,0,2022-04-01
A235,0,2022-05-01
A235,0,2022-06-01
A235,0,2022-07-01
A235,0,2022-08-01
A235,0,2022-09-01
A235,0,2022-10-01
A235,0,2022-11-01
A235,0,2022-12-01
A235,0,2023-01-01
A235,0,2023-02-01
A235,8650,2023-03-01
A235,20598,2023-04-01
A235,7731,2023-05-01
A235,216,2023-06-01
A235,1406,2023-07-01
A235,5569,2023-08-01
A235,3298,2023-09-01
A235,3136,2023-10-01
A235,9137,2023-11-01
A235,216,2023-12-01
A235,811,2024-01-01
A235,1676,2024-02-01
A235,4974,2024-03-01
A235,10326,2024-04-01
A235,28546,2024-05-01
A235,28546,2024-06-01
A235,18274,2024-07-01
A235,4704,2024-08-01
A235,9732,2024-09-01
A235,4974,2024-10-01
A235,7191,2024-11-01
A235,1568,2024-12-01
A236,0,2022-01-01
A236,0,2022-02-01
A236,0,2022-03-01
A236,0,2022-04-01
A236,0,2022-05-01
A236,0,2022-06-01
A236,0,2022-07-01
A236,0,2022-08-01
A236,0,2022-09-01
A236,0,2022-10-01
A236,0,2022-11-01
A236,0,2022-12-01
A236,0,2023-01-01
A236,0,2023-02-01
A236,6304,2023-03-01
A236,0,2023-04-01
A236,6245,2023-05-01
A236,952,2023-06-01
A236,952,2023-07-01
A236,654,2023-08-01
A236,1487,2023-09-01
A236,833,2023-10-01
A236,8742,2023-11-01
A236,5293,2023-12-01
A236,3509,2024-01-01
A236,2557,2024-02-01
A236,0,2024-03-01
A236,1903,2024-04-01
A236,0,2024-05-01
A236,0,2024-06-01
A236,714,2024-07-01
A236,0,2024-08-01
A236,4520,2024-09-01
A236,3509,2024-10-01
A236,1725,2024-11-01
A236,178,2024-12-01
A237,0,2022-01-01
A237,0,2022-02-01
A237,0,2022-03-01
A237,0,2022-04-01
A237,0,2022-05-01
A237,0,2022-06-01
A237,0,2022-07-01
A237,0,2022-08-01
A237,410,2022-09-01
A237,0,2022-10-01
A237,0,2022-11-01
A237,0,2022-12-01
A237,0,2023-01-01
A237,0,2023-02-01
A237,0,2023-03-01
A237,0,2023-04-01
A237,0,2023-05-01
A237,0,2023-06-01
A237,0,2023-07-01
A237,0,2023-08-01
A237,0,2023-09-01
A237,0,2023-10-01
A237,0,2023-11-01
A237,0,2023-12-01
A237,0,2024-01-01
A237,0,2024-02-01
A237,0,2024-03-01
A237,0,2024-04-01
A237,0,2024-05-01
A237,0,2024-06-01
A237,0,2024-07-01
A237,0,2024-08-01
A237,0,2024-09-01
A237,205,2024-10-01
A237,0,2024-11-01
A237,0,2024-12-01
A238,0,2022-01-01
A238,0,2022-02-01
A238,0,2022-03-01
A238,0,2022-04-01
A238,0,2022-05-01
A238,0,2022-06-01
A238,0,2022-07-01
A238,0,2022-08-01
A238,0,2022-09-01
A238,0,2022-10-01
A238,17090,2022-11-01
A238,0,2022-12-01
A238,0,2023-01-01
A238,0,2023-02-01
A238,0,2023-03-01
A238,0,2023-04-01
A238,0,2023-05-01
A238,0,2023-06-01
A238,0,2023-07-01
A238,0,2023-08-01
A238,0,2023-09-01
A238,0,2023-10-01
A238,12095,2023-11-01
A238,0,2023-12-01
A238,0,2024-01-01
A238,0,2024-02-01
A238,0,2024-03-01
A238,0,2024-04-01
A238,0,2024-05-01
A238,0,2024-06-01
A238,0,2024-07-01
A238,0,2024-08-01
A238,0,2024-09-01
A238,0,2024-10-01
A238,0,2024-11-01
A238,0,2024-12-01
A239,0,2022-01-01
A239,0,2022-02-01
A239,0,2022-03-01
A239,0,2022-04-01
A239,0,2022-05-01
A239,0,2022-06-01
A239,0,2022-07-01
A239,0,2022-08-01
A239,0,2022-09-01
A239,0,2022-10-01
A239,0,2022-11-01
A239,0,2022-12-01
A239,0,2023-01-01
A239,0,2023-02-01
A239,0,2023-03-01
A239,0,2023-04-01
A239,0,2023-05-01
A239,0,2023-06-01
A239,0,2023-07-01
A239,0,2023-08-01
A239,0,2023-09-01
A239,0,2023-10-01
A239,614,2023-11-01
A239,6451,2023-12-01
A239,614,2024-01-01
A239,8909,2024-02-01
A239,922,2024-03-01
A239,0,2024-04-01
A239,0,2024-05-01
A239,0,2024-06-01
A239,0,2024-07-01
A239,0,2024-08-01
A239,0,2024-09-01
A239,0,2024-10-01
A239,0,2024-11-01
A239,0,2024-12-01
A240,0,2022-01-01
A240,0,2022-02-01
A240,0,2022-03-01
A240,0,2022-04-01
A240,0,2022-05-01
A240,0,2022-06-01
A240,0,2022-07-01
A240,0,2022-08-01
A240,0,2022-09-01
A240,0,2022-10-01
A240,0,2022-11-01
A240,0,2022-12-01
A240,0,2023-01-01
A240,0,2023-02-01
A240,0,2023-03-01
A240,0,2023-04-01
A240,0,2023-05-01
A240,0,2023-06-01
A240,0,2023-07-01
A240,0,2023-08-01
A240,0,2023-09-01
A240,0,2023-10-01
A240,0,2023-11-01
A240,0,2023-12-01
A240,0,2024-01-01
A240,0,2024-02-01
A240,0,2024-03-01
A240,0,2024-04-01
A240,0,2024-05-01
A240,0,2024-06-01
A240,0,2024-07-01
A240,0,2024-08-01
A240,0,2024-09-01
A240,0,2024-10-01
A240,0,2024-11-01
A240,0,2024-12-01
A241,0,2022-01-01
A241,0,2022-02-01
A241,0,2022-03-01
A241,0,2022-04-01
A241,0,2022-05-01
A241,0,2022-06-01
A241,0,2022-07-01
A241,0,2022-08-01
A241,0,2022-09-01
A241,0,2022-10-01
A241,0,2022-11-01
A241,0,2022-12-01
A241,0,2023-01-01
A241,0,2023-02-01
A241,0,2023-03-01
A241,0,2023-04-01
A241,0,2023-05-01
A241,0,2023-06-01
A241,0,2023-07-01
A241,0,2023-08-01
A241,0,2023-09-01
A241,0,2023-10-01
A241,0,2023-11-01
A241,0,2023-12-01
A241,0,2024-01-01
A241,0,2024-02-01
A241,0,2024-03-01
A241,0,2024-04-01
A241,0,2024-05-01
A241,0,2024-06-01
A241,0,2024-07-01
A241,0,2024-08-01
A241,0,2024-09-01
A241,0,2024-10-01
A241,0,2024-11-01
A241,0,2024-12-01
A242,0,2022-01-01
A242,0,2022-02-01
A242,0,2022-03-01
A242,0,2022-04-01
A242,0,2022-05-01
A242,0,2022-06-01
A242,0,2022-07-01
A242,0,2022-08-01
A242,0,2022-09-01
A242,0,2022-10-01
A242,0,2022-11-01
A242,0,2022-12-01
A242,0,2023-01-01
A242,0,2023-02-01
A242,0,2023-03-01
A242,0,2023-04-01
A242,0,2023-05-01
A242,0,2023-06-01
A242,0,2023-07-01
A242,0,2023-08-01
A242,0,2023-09-01
A242,0,2023-10-01
A242,0,2023-11-01
A242,0,2023-12-01
A242,0,2024-01-01
