sku,fecha,demanda
A5,2023-09-25,31554
A5,2023-10-02,6719
A5,2023-10-09,6186
A5,2023-10-16,24716
A5,2023-10-23,3493
A5,2023-10-30,24450
A5,2023-11-06,12639
A5,2023-11-13,16132
A5,2023-11-20,10863
A5,2023-11-27,23295
A5,2023-12-04,23118
A5,2023-12-11,2812
A5,2023-12-18,48130
A5,2023-12-25,17760
A5,2024-01-01,3138
A5,2024-01-08,19329
A5,2024-01-15,38421
A5,2024-01-22,22703
A5,2024-01-29,43246
A5,2024-02-05,3108
A5,2024-02-12,11722
A5,2024-02-19,40670
A5,2024-02-26,15214
A5,2024-03-04,13024
A5,2024-03-11,34928
A5,2024-03-18,24716
A5,2024-03-25,20602
A5,2024-04-01,8229
A5,2024-04-08,14001
A5,2024-04-15,3345
A5,2024-04-22,15096
A5,2024-04-29,22822
A5,2024-05-06,1776
A5,2024-05-13,23976
A5,2024-05-20,10449
A5,2024-05-27,22230
A5,2024-06-03,9975
A5,2024-06-10,6453
A5,2024-06-17,31761
A5,2024-06-24,36704
A5,2024-07-01,25722
A5,2024-07-08,11840
A5,2024-07-15,17198
A5,2024-07-22,14119
A5,2024-07-29,13734
A5,2024-08-05,21075
A5,2024-08-12,7134
A5,2024-08-19,25190
A5,2024-08-26,38865
A5,2024-09-02,28505
A5,2024-09-09,70182
A5,2024-09-16,7844
A5,2024-09-23,2161
A5,2024-09-30,11130
A5,2024-10-07,4026
A5,2024-10-14,22940
A5,2024-10-21,35254
A5,2024-10-28,3730
A5,2024-11-04,3937
A5,2024-11-11,11307
A5,2024-11-18,740
A5,2024-11-25,4262
A5,2024-12-02,651
A5,2024-12-09,2042
A5,2024-12-16,3907
A5,2024-12-23,1510
A5,2024-12-30,11544
A6,2022-01-03,0
A6,2022-01-10,0
A6,2022-01-17,0
A6,2022-01-24,0
A6,2022-01-31,0
A6,2022-02-07,0
A6,2022-02-14,0
A6,2022-02-21,0
A6,2022-02-28,0
A6,2022-03-07,0
A6,2022-03-14,0
A6,2022-03-21,0
A6,2022-03-28,0
A6,2022-04-04,0
A6,2022-04-11,0
A6,2022-04-18,0
A6,2022-04-25,0
A6,2022-05-02,0
A6,2022-05-09,0
A6,2022-05-16,0
A6,2022-05-23,0
A6,2022-05-30,0
A6,2022-06-06,0
A6,2022-06-13,0
A6,2022-06-20,0
A6,2022-06-27,0
A6,2022-07-04,0
A6,2022-07-11,0
A6,2022-07-18,0
A6,2022-07-25,0
A6,2022-08-01,0
A6,2022-08-08,0
A6,2022-08-15,0
A6,2022-08-22,0
A6,2022-08-29,0
A6,2022-09-05,0
A6,2022-09-12,0
A6,2022-09-19,0
A6,2022-09-26,0
A6,2022-10-03,0
A6,2022-10-10,0
A6,2022-10-17,0
A6,2022-10-24,0
A6,2022-10-31,0
A6,2022-11-07,0
A6,2022-11-14,0
A6,2022-11-21,0
A6,2022-11-28,0
A6,2022-12-05,0
A6,2022-12-12,0
A6,2022-12-19,0
A6,2022-12-26,0
A6,2023-01-02,0
A6,2023-01-09,0
A6,2023-01-16,0
A6,2023-01-23,0
A6,2023-01-30,0
A6,2023-02-06,0
A6,2023-02-13,0
A6,2023-02-20,0
A6,2023-02-27,0
A6,2023-03-06,0
A6,2023-03-13,44
A6,2023-03-20,0
A6,2023-03-27,0
A6,2023-04-03,0
A6,2023-04-10,0
A6,2023-04-17,131
A6,2023-04-24,0
A6,2023-05-01,87
A6,2023-05-08,87
A6,2023-05-15,0
A6,2023-05-22,0
A6,2023-05-29,0
A6,2023-06-05,0
A6,2023-06-12,0
A6,2023-06-19,44
A6,2023-06-26,0
A6,2023-07-03,0
A6,2023-07-10,87
A6,2023-07-17,0
A6,2023-07-24,0
A6,2023-07-31,393
A6,2023-08-07,0
A6,2023-08-14,0
A6,2023-08-21,0
A6,2023-08-28,0
A6,2023-09-04,0
A6,2023-09-11,0
A6,2023-09-18,0
A6,2023-09-25,0
A6,2023-10-02,0
A6,2023-10-09,0
A6,2023-10-16,0
A6,2023-10-23,0
A6,2023-10-30,0
A6,2023-11-06,0
A6,2023-11-13,0
A6,2023-11-20,0
A6,2023-11-27,0
A6,2023-12-04,0
A6,2023-12-11,0
A6,2023-12-18,0
A6,2023-12-25,0
A6,2024-01-01,0
A6,2024-01-08,0
A6,2024-01-15,0
A6,2024-01-22,0
A6,2024-01-29,0
A6,2024-02-05,0
A6,2024-02-12,0
A6,2024-02-19,0
A6,2024-02-26,0
A6,2024-03-04,0
A6,2024-03-11,0
A6,2024-03-18,0
A6,2024-03-25,0
A6,2024-04-01,0
A6,2024-04-08,0
A6,2024-04-15,0
A6,2024-04-22,0
A6,2024-04-29,0
A6,2024-05-06,0
A6,2024-05-13,0
A6,2024-05-20,0
A6,2024-05-27,0
A6,2024-06-03,0
A6,2024-06-10,0
A6,2024-06-17,0
A6,2024-06-24,0
A6,2024-07-01,0
A6,2024-07-08,0
A6,2024-07-15,0
A6,2024-07-22,0
A6,2024-07-29,0
A6,2024-08-05,0
A6,2024-08-12,0
A6,2024-08-19,0
A6,2024-08-26,0
A6,2024-09-02,0
A6,2024-09-09,0
A6,2024-09-16,0
A6,2024-09-23,0
A6,2024-09-30,0
A6,2024-10-07,0
A6,2024-10-14,0
A6,2024-10-21,0
A6,2024-10-28,0
A6,2024-11-04,0
A6,2024-11-11,0
A6,2024-11-18,0
A6,2024-11-25,0
A6,2024-12-02,0
A6,2024-12-09,0
A6,2024-12-16,0
A6,2024-12-23,0
A6,2024-12-30,0
A7,2022-01-03,0
A7,2022-01-10,0
A7,2022-01-17,0
A7,2022-01-24,0
A7,2022-01-31,0
A7,2022-02-07,0
A7,2022-02-14,0
A7,2022-02-21,0
A7,2022-02-28,0
A7,2022-03-07,0
A7,2022-03-14,0
A7,2022-03-21,0
A7,2022-03-28,0
A7,2022-04-04,0
A7,2022-04-11,0
A7,2022-04-18,0
A7,2022-04-25,0
A7,2022-05-02,0
A7,2022-05-09,0
A7,2022-05-16,0
A7,2022-05-23,0
A7,2022-05-30,0
A7,2022-06-06,0
A7,2022-06-13,0
A7,2022-06-20,0
A7,2022-06-27,0
A7,2022-07-04,0
A7,2022-07-11,0
A7,2022-07-18,0
A7,2022-07-25,0
A7,2022-08-01,0
A7,2022-08-08,0
A7,2022-08-15,0
A7,2022-08-22,0
A7,2022-08-29,0
A7,2022-09-05,0
A7,2022-09-12,0
A7,2022-09-19,0
A7,2022-09-26,0
A7,2022-10-03,0
A7,2022-10-10,0
A7,2022-10-17,0
A7,2022-10-24,0
A7,2022-10-31,0
A7,2022-11-07,0
A7,2022-11-14,0
A7,2022-11-21,0
A7,2022-11-28,0
A7,2022-12-05,0
A7,2022-12-12,0
A7,2022-12-19,0
A7,2022-12-26,0
A7,2023-01-02,0
A7,2023-01-09,0
A7,2023-01-16,0
A7,2023-01-23,0
A7,2023-01-30,31
A7,2023-02-06,8
A7,2023-02-13,2
A7,2023-02-20,52
A7,2023-02-27,11
A7,2023-03-06,5
A7,2023-03-13,84
A7,2023-03-20,0
A7,2023-03-27,0
A7,2023-04-03,0
A7,2023-04-10,0
A7,2023-04-17,0
A7,2023-04-24,0
A7,2023-05-01,0
A7,2023-05-08,0
A7,2023-05-15,0
A7,2023-05-22,0
A7,2023-05-29,0
A7,2023-06-05,0
A7,2023-06-12,0
A7,2023-06-19,0
A7,2023-06-26,0
A7,2023-07-03,0
A7,2023-07-10,0
A7,2023-07-17,0
A7,2023-07-24,0
A7,2023-07-31,0
A7,2023-08-07,0
A7,2023-08-14,0
A7,2023-08-21,0
A7,2023-08-28,0
A7,2023-09-04,0
A7,2023-09-11,0
A7,2023-09-18,0
A7,2023-09-25,0
A7,2023-10-02,38
A7,2023-10-09,56
A7,2023-10-16,35
A7,2023-10-23,27
A7,2023-10-30,18
A7,2023-11-06,28
A7,2023-11-13,49
A7,2023-11-20,5
A7,2023-11-27,28
A7,2023-12-04,48
A7,2023-12-11,13
A7,2023-12-18,26
A7,2023-12-25,0
A7,2024-01-01,8
A7,2024-01-08,2
A7,2024-01-15,0
A7,2024-01-22,0
A7,2024-01-29,0
A7,2024-02-05,0
A7,2024-02-12,0
A7,2024-02-19,0
A7,2024-02-26,0
A7,2024-03-04,0
A7,2024-03-11,0
A7,2024-03-18,0
A7,2024-03-25,0
A7,2024-04-01,0
A7,2024-04-08,0
A7,2024-04-15,0
A7,2024-04-22,0
A7,2024-04-29,0
A7,2024-05-06,0
A7,2024-05-13,0
A7,2024-05-20,13
A7,2024-05-27,40
A7,2024-06-03,26
A7,2024-06-10,2
A7,2024-06-17,5
A7,2024-06-24,25
A7,2024-07-01,33
A7,2024-07-08,8
A7,2024-07-15,5
A7,2024-07-22,0
A7,2024-07-29,8
A7,2024-08-05,11
A7,2024-08-12,17
A7,2024-08-19,0
A7,2024-08-26,1
A7,2024-09-02,8
A7,2024-09-09,33
A7,2024-09-16,5
A7,2024-09-23,35
A7,2024-09-30,2
A7,2024-10-07,26
A7,2024-10-14,4
A7,2024-10-21,8
A7,2024-10-28,43
A7,2024-11-04,10
A7,2024-11-11,23
A7,2024-11-18,10
A7,2024-11-25,47
A7,2024-12-02,33
A7,2024-12-09,8
A7,2024-12-16,13
A7,2024-12-23,0
A7,2024-12-30,0
A8,2022-01-03,0
A8,2022-01-10,0
A8,2022-01-17,0
A8,2022-01-24,0
A8,2022-01-31,0
A8,2022-02-07,0
A8,2022-02-14,0
A8,2022-02-21,0
A8,2022-02-28,0
A8,2022-03-07,0
A8,2022-03-14,0
A8,2022-03-21,0
A8,2022-03-28,0
A8,2022-04-04,0
A8,2022-04-11,0
A8,2022-04-18,0
A8,2022-04-25,0
A8,2022-05-02,0
A8,2022-05-09,0
A8,2022-05-16,0
A8,2022-05-23,0
A8,2022-05-30,0
A8,2022-06-06,0
A8,2022-06-13,0
A8,2022-06-20,0
A8,2022-06-27,0
A8,2022-07-04,0
A8,2022-07-11,0
A8,2022-07-18,0
A8,2022-07-25,0
